ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
03V,2013,3,39766,2106,55313.85,26.26488604
04Y,2013,3,102246,6120,157309.5,25.70416667
00W,2013,3,156609,8184,195927.94,23.94036413
00Y,2013,3,177319,10749,257071.31,23.91583496
05H,2013,3,147421,8935,210654.03,23.57627644
07T,2013,3,218009,11105,261166.15,23.51788834
13P,2013,3,541399,34308,800617.65,23.33617961
07G,2013,3,119924,6902,160770.43,23.29331063
05J,2013,3,135026,6962,161929.66,23.25907211
04F,2013,3,201834,9533,219974.53,23.07505822
01Y,2013,3,187054,11485,264746.65,23.05151502
09H,2013,3,97051,5375,122753.36,22.83783442
10A,2013,3,158284,9803,223456.04,22.79465878
06D,2013,3,90218,5279,120165.31,22.76289259
10G,2013,3,105928,4946,112462.72,22.73811565
99M,2013,3,170761,8171,185674.57,22.72360421
01M,2013,3,138202,8034,182557.16,22.72307194
09P,2013,3,147619,8451,190964.31,22.59665247
01N,2013,3,131660,6960,153833.84,22.10256322
99E,2013,3,207630,11082,244793.44,22.08928352
03L,2013,3,200329,11951,262904.66,21.99854908
05L,2013,3,398593,29965,658627.48,21.97989254
09J,2013,3,191882,10425,228689.69,21.93666091
03K,2013,3,133511,8430,184259.62,21.85760617
02X,2013,3,247262,16386,357782.78,21.83466252
03W,2013,3,254405,13555,295828.06,21.82427591
05D,2013,3,106340,6137,132963.68,21.66590842
09G,2013,3,395058,22445,485818.17,21.64482825
04C,2013,3,283277,19916,427918.48,21.4861659
09C,2013,3,93487,5141,110347.59,21.4642268
02W,2013,3,71481,6542,140337.78,21.45181596
02D,2013,3,79614,4671,100043.4,21.4179833
05Q,2013,3,168479,9473,202614.04,21.38858229
05V,2013,3,117347,6083,130048.34,21.37898077
99N,2013,3,362681,18353,391712.89,21.34326214
02P,2013,3,178639,11357,241057.4,21.22544686
10E,2013,3,111096,7364,156234.32,21.21595872
04X,2013,3,182869,12522,261113.88,20.85241016
05A,2013,3,360435,19712,410703.37,20.83519531
07L,2013,3,142339,8796,182938.01,20.7978638
11A,2013,3,437677,20904,433783.4,20.75121508
01R,2013,3,139532,8137,168458.53,20.70278112
04H,2013,3,103252,5563,115083.2,20.68725508
04Q,2013,3,104115,5897,121788.54,20.65262676
09E,2013,3,170878,9221,190292.17,20.63682572
04V,2013,3,292840,16174,332551.76,20.56088537
09Y,2013,3,277925,14210,292027.44,20.55084025
08M,2013,3,268967,18291,375727.61,20.54166585
12D,2013,3,172928,9539,195638.22,20.50930077
05C,2013,3,250159,14779,302882.49,20.49411259
07J,2013,3,134276,9583,195291.44,20.37894605
05X,2013,3,134097,7812,159099.39,20.36602535
05P,2013,3,186319,10750,218730.77,20.34704837
07Y,2013,3,205967,12366,251395.72,20.32959081
99D,2013,3,126824,7786,158240,20.32365785
03H,2013,3,131600,8080,163438.26,20.22750743
99J,2013,3,362243,17766,358470.48,20.17733198
09W,2013,3,215197,13577,273833.81,20.16894822
04E,2013,3,147551,8714,175727.55,20.16611774
10C,2013,3,72551,3529,71132.28,20.15649759
10W,2013,3,100369,4261,85855.05,20.14903778
03M,2013,3,97630,5068,102060.72,20.13826361
03T,2013,3,199805,14784,297692.65,20.13613704
02T,2013,3,166522,9125,183484.44,20.10788384
05T,2013,3,234038,13611,273065.97,20.06215341
07K,2013,3,190836,10002,200448.07,20.04079884
01T,2013,3,126822,7054,141333.17,20.03589028
01W,2013,3,237826,12937,259175.63,20.03367319
09L,2013,3,129916,5887,117870.18,20.02211313
06T,2013,3,263332,15400,307592,19.97350649
00Q,2013,3,124909,8330,166352.22,19.9702545
05R,2013,3,221203,10292,205464.01,19.96346774
10H,2013,3,252815,12259,244591.33,19.95198059
12A,2013,3,204972,9937,198255.39,19.95123176
03D,2013,3,115576,5882,117171.21,19.92030092
08T,2013,3,142037,7444,148255.4,19.9160935
11C,2013,3,119827,5537,110052.82,19.87589308
02Q,2013,3,90256,5504,108984.95,19.80104469
99F,2013,3,144540,8329,164703.18,19.77466443
10X,2013,3,213671,10428,206062.68,19.76051784
09D,2013,3,246425,9457,186838.89,19.75667654
08G,2013,3,214206,12692,250629.53,19.74704775
09X,2013,3,178339,8173,161306.87,19.73655573
03G,2013,3,198646,11317,223316.78,19.7328603
10L,2013,3,117428,6720,131994.31,19.64201042
10Y,2013,3,156171,7601,149048.82,19.6091067
11J,2013,3,619106,33342,653485.48,19.59946854
